 KIC SL Puls
0 5354491 1.0 0.0
1 4169440 1.0 0.0
2 11038543 1.0 0.0
3 6925109 1.0 0.0
4 11775251 0.04666666666666667 0.9533333333333334
5 6861403 1.0 0.0
6 5343801 0.995 0.005
7 2849148 0.865 0.135
8 3231208 1.0 0.0
9 4946220 0.9933333333333333 0.006666666666666667
10 4041741 0.995 0.005
11 2424688 1.0 0.0
12 5707416 1.0 0.0
13 2713305 0.9966666666666667 0.0033333333333333335
14 6438333 1.0 0.0
15 11802860 0.0 1.0
16 8233917 1.0 0.0
17 2579041 0.99 0.01
18 8123843 1.0 0.0
19 7427176 1.0 0.0
20 6542321 1.0 0.0
21 6870779 1.0 0.0
22 4661505 1.0 0.0
23 2847114 1.0 0.0
24 11084309 1.0 0.0
25 6870835 1.0 0.0
26 10516096 1.0 0.0
27 11026045 0.0 1.0
28 6606428 1.0 0.0
29 2856795 1.0 0.0
30 2573016 0.995 0.005
31 5513890 1.0 0.0
32 7975647 1.0 0.0
33 11874898 0.29333333333333333 0.7066666666666667
34 7867854 1.0 0.0
35 5445048 1.0 0.0
36 4243508 0.895 0.105
37 5721975 1.0 0.0
38 6307578 1.0 0.0
39 6524037 1.0 0.0
40 11309335 0.015 0.985
41 7676643 1.0 0.0
42 5950668 0.9983333333333333 0.0016666666666666668
43 5257119 1.0 0.0
44 8866894 1.0 0.0
45 4255241 1.0 0.0
46 4249128 1.0 0.0
47 1867358 0.9583333333333334 0.041666666666666664
48 11244118 1.0 0.0
49 892376 0.9666666666666667 0.03333333333333333
50 8739025 0.99 0.01
51 6548666 1.0 0.0
52 5543693 1.0 0.0
53 8872641 1.0 0.0
54 6691449 1.0 0.0
55 9273247 0.995 0.005
56 8775132 0.9983333333333333 0.0016666666666666668
57 3219744 1.0 0.0
58 9018673 1.0 0.0
59 6962291 0.9983333333333333 0.0016666666666666668
60 8283356 1.0 0.0
61 10812516 1.0 0.0
62 8804060 0.995 0.005
63 8145176 1.0 0.0
64 1873523 0.9983333333333333 0.0016666666666666668
65 5288880 1.0 0.0
66 6140892 1.0 0.0
67 7957166 1.0 0.0
68 6370489 1.0 0.0
69 7680159 1.0 0.0
70 5515133 0.9983333333333333 0.0016666666666666668
71 2441891 1.0 0.0
72 6288330 1.0 0.0
73 6508787 1.0 0.0
74 8106525 1.0 0.0
75 6676725 0.9333333333333333 0.06666666666666667
76 1722506 1.0 0.0
77 7548061 0.55 0.45
78 3831992 1.0 0.0
79 6676236 1.0 0.0
80 3849027 1.0 0.0
81 3940630 1.0 0.0
82 11508587 0.0 1.0
83 11907454 0.03833333333333333 0.9616666666666667
84 3438363 1.0 0.0
85 7907191 1.0 0.0
86 1575886 1.0 0.0
87 3939069 1.0 0.0
88 11036440 0.0016666666666666668 0.9983333333333333
89 7940546 1.0 0.0
90 6530236 1.0 0.0
91 8442169 1.0 0.0
92 2971484 0.995 0.005
93 3954954 1.0 0.0
94 6510447 1.0 0.0
95 4168016 1.0 0.0
96 11861260 0.018333333333333333 0.9816666666666667
97 6048671 1.0 0.0
98 7368013 1.0 0.0
99 11152649 0.006666666666666667 0.9933333333333333
100 3966673 1.0 0.0
101 2448958 1.0 0.0
102 8232017 1.0 0.0
103 4075613 0.9983333333333333 0.0016666666666666668
104 6369666 0.9983333333333333 0.0016666666666666668
105 3967523 0.9933333333333333 0.006666666666666667
106 6615504 1.0 0.0
107 10853783 0.0033333333333333335 0.9966666666666667
108 6203755 1.0 0.0
109 9157408 1.0 0.0
110 12934846 0.0033333333333333335 0.9966666666666667
111 5693454 0.9966666666666667 0.0033333333333333335
112 2013627 1.0 0.0
113 3966749 0.9966666666666667 0.0033333333333333335
114 7107778 1.0 0.0
115 6306269 1.0 0.0
116 6128245 1.0 0.0
117 4553892 1.0 0.0
118 3964684 1.0 0.0
119 4067699 1.0 0.0
120 3946621 0.9883333333333333 0.011666666666666667
121 3728936 1.0 0.0
122 3102411 0.9983333333333333 0.0016666666666666668
123 4245987 1.0 0.0
124 3934458 1.0 0.0
125 7007103 0.043333333333333335 0.9566666666666667
126 7303187 1.0 0.0
127 11415556 0.0 1.0
128 3234655 1.0 0.0
129 2421893 0.9666666666666667 0.03333333333333333
130 6145134 0.9916666666666667 0.008333333333333333
131 1292147 0.82 0.18
132 1433803 0.995 0.005
133 7036151 1.0 0.0
134 3427720 1.0 0.0
135 1164102 1.0 0.0
136 4832196 1.0 0.0
137 8212786 0.9966666666666667 0.0033333333333333335
138 11721304 0.03666666666666667 0.9633333333333334
139 6233748 1.0 0.0
140 11515690 0.96 0.04
141 6363090 1.0 0.0
142 3969150 1.0 0.0
143 4148235 1.0 0.0
144 8195153 1.0 0.0
145 4826423 0.9983333333333333 0.0016666666666666668
146 11717240 0.075 0.925
147 7748003 0.9983333333333333 0.0016666666666666668
148 4743924 1.0 0.0
149 1163114 1.0 0.0
150 2558314 1.0 0.0
151 1027277 1.0 0.0
152 5353283 0.9983333333333333 0.0016666666666666668
153 5469402 1.0 0.0
154 8960232 0.9983333333333333 0.0016666666666666668
155 12643786 0.0016666666666666668 0.9983333333333333
156 8222691 1.0 0.0
157 6805631 1.0 0.0
158 6448067 1.0 0.0
159 5256967 1.0 0.0
160 5983299 1.0 0.0
161 5810513 1.0 0.0
162 3643774 1.0 0.0
163 11520310 0.015 0.985
164 5522071 1.0 0.0
165 6592652 1.0 0.0
166 8006161 1.0 0.0
167 5219637 1.0 0.0
168 4445966 1.0 0.0
169 4055669 1.0 0.0
170 2016946 1.0 0.0
171 5442366 1.0 0.0
172 7367289 1.0 0.0
173 7464220 1.0 0.0
174 3120486 0.9983333333333333 0.0016666666666666668
175 6142229 1.0 0.0
176 4056994 1.0 0.0
177 6465075 1.0 0.0
178 4074068 1.0 0.0
179 11183259 0.0 1.0
180 2443037 1.0 0.0
181 5306751 1.0 0.0
182 4245449 0.53 0.47
183 11572046 0.005 0.995
184 3956260 1.0 0.0
185 7501667 0.9966666666666667 0.0033333333333333335
186 10483436 0.4116666666666667 0.5883333333333334
187 5439433 1.0 0.0
188 11771760 0.985 0.015
189 6200734 1.0 0.0
190 6688318 1.0 0.0
191 11909497 0.0 1.0
192 6924105 0.9983333333333333 0.0016666666666666668
193 7584122 1.0 0.0
194 11454593 0.051666666666666666 0.9483333333333334
195 3230719 1.0 0.0
196 5359848 1.0 0.0
197 12365420 0.021666666666666667 0.9783333333333334
198 5428929 1.0 0.0
199 5386327 0.9983333333333333 0.0016666666666666668
200 8228742 0.9983333333333333 0.0016666666666666668
201 4143075 1.0 0.0
202 2142111 1.0 0.0
203 2439496 1.0 0.0
204 5607242 1.0 0.0
205 10801714 0.035 0.965
206 4263103 1.0 0.0
207 8018599 1.0 0.0
208 5706341 1.0 0.0
209 8650057 1.0 0.0
210 6465289 1.0 0.0
211 8167335 1.0 0.0
